full_text;labels
semoga jakarta warganya pemerintah bersinergi mengatasi banjir kedepannya mengantisipasi banjir;1
sobatjaktim musim hujan sudah waspada banjir bisa tapi bisa menghadapinya simak langkah menghadapi banjir infografis ya sumber hadapibanjir;1
calming dengar suka banget hujan tapi prihatin bencana banjir jakarta semoga korban keselamatan banjir surut;1
kejadian banjir bekasi efek domino pengelolaan hutan salah kelola drainase sampah banjir banjirjabodetabek;1
pemerintah jabodetabek terintegrasi emg faktor penyebab banjir bukan jakarta doang;0
jakarta jnews presiden joko widodo penanganan banjir melanda wilayah bersamasama pemerintah pusat pemerintah provinsi pemerintah kabupatenkota jnews banjir;0
gubernur dki jakarta pramono anung wibowo meninjau bantuan lokasi pengungsian banjir gelanggang olahraga gor otista jakarta timur rabu;2
banyaknya bikin mitihasi bencana ngerangkum yg hrs disiapin bencana plus mantau scr online kondisi bbrp kota pasca hujan ekstrem kmrn kota bogor kab bogor yg habis longsor banjir bandang;0
personel gabungan tnipolri mengevakuasi warga terdampak banjir perumahan asri sawangan depok jawa barat selasa pria membutuhkan cuci darah rsud sawangan;2
baca akan memfasilitasi gugatan warga banjir pemerintah;0
salut polri yg udah sigap dirikan dapur lapangan utk korban banjir bekasi semoga yg kebantu;2
kasian bekasi udah kena banjir disalahsalahin orang cuman grgr sekelompok sdm rendah aowkwkwkwk;0
pemakaian plastik ugal an buangny sembarangan giliran banjir teriak k pemerintah;0
bupati tangerang mengajak pemerintah pusat pemerintah daerah jabodetabek membahas mengatasi banjir;2
banjir jakarta barat bukan tanggul jebol bakomstrajatim demokratjatim agusharimurtiyudhoyono fyp bakomstrangawi demokratngawi demokrat demokrat jatim ahy menteri ahy capcut;0
terima kasih polri kehadiranmu bencana harapan korban banjir bekasi amp depok;2
ahok gubernur banjir kelapa gading bisa berenti daerah jakarta yg langganan banjir tidak banjir skrng;0
jakarta bekasi banjir meneguhkan kpd tidak ragu ibukota dipindah ikn jabodetabek sudah berat menanggung beban beban ekologis lingkungan sosial;0
banyaknya pembukaan area developer area bogor puncak resapan berkurang ngelarangnya dimana ya nyadarnya bogor ikutan banjir gitu ya;1
banjir bekasi solusinya;0
pasca banjir bekasi rumah kendaraan terendam banjir video diunggah akun instagram warungjurnalis tumpukan motor terbawa arus banjir berserakan kendaraan berserakan salah sekolah bekasi rabu maret banjir bekasi;1
sudah prnh parah bekasi tidak berubahnya penanganan banjir sudah tau dpt air kirimiman;0
kota bekasi pemerintah kota bekasi badan penanggulangan bencana daerah kota bekasi telah langkah evakuasi warga akibat bencana banjir selasa;2
pengendara sepeda motor melintasi ruas tol cibitungtanjung priok arah bekasi jakarta diskresi pjr cikampek ruas jalan dikepung banjir video rabu;2
update terkini banjir bekasi alhamdulillah warga telah berhasil dievakuasi aman tim relawan lapangan kondisi warga terdampak banjir kota bekasi sedang membutuhkan bantuan mari bantu berdonasi;2
biar banjir tidak terulang minimal tidak separah sudah sewajibnya musim hujan pemerintah jakarta infrastruktur pengendali air yg muktahir masyarakat menjaga lingkungan;0
bpbd melaporkan banjir titik jakarta telah surut berdasarkan data terbaru rt jalan tergenang banjir;1
rudy susmanto pemkab bogor bentuk posko gandeng bnpb modifikasi cuaca atasi banjir;2
banjir jakarta timur cililitan jam semoga aman terkendali bantuan logistik pray bekasi jakarta tangerang staysafe cililitan kemang jatiasih jatirasa pondok gede;1
salut banget polri yg gercep kasih bantuan evakuasi korban banjir bekasi n depok keren;2
selamatkan jangan dibunuh kembalikan habitatnya banjir bekasi;1
penanganan pemulihan dampak banjir bekasi;1
daerah yg kebanjiran skrng tdk kebnjiran dri sya blng bkn hnya mengandalkan pemerintah tapi wrga jkrta bgaimnamsh buang sampah smbarangandan curah hujan kemarin bagaimnabogor yg tidak prnh banjir banjirlebak banten kaya;0
viral rsud kota bekasi terendam banjir listrik padam pasien icu dievakuasi banjir;1
ragu banjir alasan pemerintah pusat memindahkan kota pemkot duh bekasi semrawut saluran airnya tidak layak pemimpinnya terciduk korupsi;0
pertanyaannya bisa mengukur parameter keseriusan efektivitas janjijanji penyelesaian banjir jakarta;1
semoga banjir kmrn rubuhnya bangunan jakarta bisa melek pemerintah amdal imb tidak dihapuskan;0
memetakan banjir bnpbsetelah banjir yg antisipasi kerjakan pemerintah kotajaman gubernur ahok diantisipasikerugian rakyat milyaran beginigubernur tidak bisa kerja aniesgabisakerja prayforjakarta banjir;0
momen unik kepala otorita ikn basuki hadimuljono alias bas kebanjiran perumahan elite bekasi bas mendorong motor trail koleksinya luapan banjir kompleksnya;1
kubu menyalahkan pemerintah bilang banjir kali terbesar sejarah bilang jakarta tempatnya air sudah introspeksi menuduh yg mengkritik tidak suka personalnya;0
orang sudah kebanjiran genteng presiden beretorika basi sebabkan banjir jakarta gerombolan jokowi sumur resapan anies ditutup heru budi presiden omon omon maret jokowibiangphkmassal;0
menko pmk pemerintah percepat pemulihan banjir bekasi;1
penampakan kendaraan menumpuk akibat terseret arus banjir bekasi banjir disebabkan luapan air kali bekasi menggenangi perumahan fasilitas kawasan perumahan;1
personel korps bhayangkara langsung terjun lokasi banjir bekasi depok wilayah mengalami banjir mengevakuasi masyarakat perahu karet peralatan memadai polri siaga pertolongan imbauan waspadahadapibencana;2
cape kondisi banjir mohon kang dedi gubernur berkenan mengambil langkah serius mengatasi semoga kang dedi hadir rakyat jabar bekasi dipinggir jabar banget terlupakan pemprov jabar;0
tangkap pengkhianat bangsa janji jokowi tukang tipu presiden mengatasi banjir jakarta;0
personel korps bhayangkara langsung terjun lokasi banjir bekasi depok wilayah mengalami banjir mengevakuasi masyarakat perahu karet peralatan memadai evakuasi warga polri instansi terkait telah mendirikan posko;2
minggu depok banjir merendam titik kecamatan jalan kampung kapling perum sukmajaya permata bogor berjuang membersihkan material lumpur pascabanjir warga mengungsi majelis taklim miftahul ghina al;1
personel gabungan tnipolri mengevakuasi warga terdampak banjir perumahan asri sawangan depok jawa barat selasa pria membutuhkan cuci darah rsud sawangan waspadahadapibencana;2
psi tidak bacotin jakarta banjir lg sptnya partai spesialis pembenci abah anies;0
selamat pagi layanan parkir resmi stasiun bekasi belum beroperasi proses pembersihan dampak banjir ya informasi terkait layanan parkir resmi stasiun bekasi dikelola kai services pt reska multi usaha silakan follow amp mentiondm akun;1
warga terdampak akibat banjir wilayah jabodetabek kota bekasi daerah korban diikuti kabupaten bekasi operasi modifikasi cuaca telah mengurangi curah hujan ekstrem;2
pt kai daerah operasi daop bandung banjir kabupaten kota bekasi selasa pagi menyebabkan ka parahyangan relasi stasiun gambirbandung mengalami keterlambatan;1
ratusan rumah warga gunung putri bogor jawa barat dilanda banjir mencapai cm banjir banjirbandang bogor gunungputri;1
kabarin info penyaluran bantuan banjir;1
pln bekasi gerak cepat tangani kelistrikan akibat banjir;1
kegiatan k yg aparatur diskominfostandi gg h abdul jalil kel kalibaru kec medan satria wilayah terdampak banjir parah menyisakan sampah utk dibersihkan humaskotabekasi dinaslhkotabekasi pemprovjabar;1
iyaa seng hadiahnya echa jakarta tidak banjir happi birtdiy ya;0
bukan warga bekasi jangan sotoy dahh banjir dibekasi kiriman bogor ya aliran sungai cileungsi cikeas panas terik bisa bajir dikirim bogornyaa warga bekasi tidak vokal emang pemerintahnya tolol;0
banjir pagi maret stasiun bekasi semoga lekas surut masyarakat terdampak bantuan;1
petugas gabungan pemkot tangerang sigap tangani banjir kiriman wilayah ciledug indah informasi selengkapnya;2
tolong yaa jgn dikit menyalahkan pemerintah gubernur tapi sadar gamau banjir buang sampah sembarangan buang plastik d pinggir jln buang puntung rokok enaknye giliran banjir nyalahin gubernurnya mikir banjirjakarta;0
bocah berusia hanyut terseret banjir kebon tebet jakarta selatan selasa korban hanyut perahu evakuasi ditumpanginya terbalik;1
pemicu utama banjir jakarta air parkir;1
bmkg bajir jadetabek banjir kiriman bogor;1
jakarta musibah banjir parah habis mobil dijual murah buyer g hati ya zonk dpt mobil bekas banjir;0
update banjir jakarta rt terendam ketinggian capai meter;1
kamis bpbd dki mengikuti kegiatan pemerintah provinsi pemprov dki jakarta mengirimkan personel peralatan mendukung upaya kerja bakti pasca banjir kota bekasi bantuan disalurkan bentuk solidaritas kolaborasi wilayah;2
jakarta pagi normal banjir alhamdulillah;1
seekor kutu berwajah manusia ya kutu yg banjir jabodetabek bkn jakarta jakarta banjir banjir kiriman dr hulu jawa barat pemerintah pusat hrs hadir krena bkn daerah sudah paham lom;0
personel gabungan tnipolri mengevakuasi warga terdampak banjir perumahan asri sawangan depok jabar selasa pria membutuhkan cuci darah rsud sawangan ditengah kepungan banjir meter evakuasi dgn perahu;2
pemerintah pusat ambil alih penanganan banjir jakarta bukti kagak becus kerja ngurusin sampah banjir tidak bisa menangani nieshancurkanjakarta;0
pemerintah gerak cepat tangani banjir wilayah banjirbekasi bmkg kemensos pcori;1
salut banget polri yg cepet banget tanggap salurin bantuan amp evakuasi korban banjir bekasi depok semangat dukung;2
temanteman bekasi terdampak banjir stay safe semoga bantuan menolong;1
giliran banjir nyalahin pemerintah nyalahin gubenur buang sampah sembarangan hoy nitijen bisa ya berbacod ria doank nieshancurkanjakarta;0
ujan deres banget bogor kyanya yg bekasi jakarta banjir kiriman dri bogor puncak parah banget banjir bhkn sampe yg longsor;1
bukan wapres sudah kunjungi korban banjir bekasi ya kmrn liat berita cmiiw;0
honda hrv spesial edition nik setangan km low rb on going reccord honda full set kunci manual book buku service pajak plat b tidak bekas tabrak tidak bekas banjir harga jt nego tipis lokasi sawangan depok more info wa;1
alat peringatan banjir rusak warga jakarta selatan hadapi banjir via;1
hebat banget polri bener tanggap banget bantu warga terkena banjir bekasi amp depok sungguh kepedulian yg tonton aksinya;2
oalah banjir bekasi kiriman dr bogor;1
pantauan banjir duta kranji bekasi sudah surut akses jln kalibaru kranjibintara sudah bisa lalui ya beks;1
bhabinkamtbmas kel teluk pucung babinsa bpbd kota bekasi membantu evakuasi warga terjebak banjir membantu membersihkan lumpur pasca banjir kp lebak rw kel teluk pucung kec bekasi utara;2
jakarta kepung banjir hujan semalam semoga warga yg terkena banjir kesabaran sabar ujian ramadhan semoga cepat surut pemerintah warga bergotong royong gubernur jakarta banjir;1
keren banget lihat polri salurkan bantuan area banjir depok keberadaan bawa aman orang;2
sabar ya tetangga ku nasib lahan das yg salah status komplek ya dijual susah tawarin bank nolak bekasi banjir villanusaindah jatiasih pondokgede kampunggua;0
titik jakarta terdampak banjir keselamatan pemantauan penanganan cepat pemadaman menjaga listrik aman terkendali;2
tidak keliataan jujur tapi parkiran dlm stasiun bekasi mah tidak banjir;1
ahok gubernurnya visi misi yg banjir d jakarta bisa berkurangnah gubernurnya uda presiden tidak sinkron ama pemerintah pusatwajar jakarta banjir parah kayak kerjanya tidak becus;0
gubernur jakarta pramono anung wibowo jajaran pemerintah provinsi pemprov dki jakarta keras mengatasi banjir banjir jakarta disebabkan hujan intensitas melanda wilayah jakarta minggu;2
tolong bantu up gais sekolah negeri tapi numpang skrng hancur diterjang banjir semoga pemerintah dengar keluh kesah warga sman kota bekasi;1
menyalahkan pemerintah bukan karna banjir tapi karna responsereaksi banjir jakarta banjir udah tinggal bgmn pemerintah mengatasinya mengurangi efeknya dll;0
giliran pemerintah resapan kek taman tpi penduduknya tidak dipindahin giliran banjir nyalahin orang wkwk miris banget cuaca ekstrim kek gini tidak yg tau udah tau jakarta kebanyakan lahan rumah hadeuhh gemes;0
sampah tidak ampe kyk gitu resapan hilang perumahan hotel vila dimana geblek bogor yg tmpt penyimpanan air masuk tanah banjir ya habislah bawahnya bersihpun air yg sgtu bnyk ya banjir jg;0
semoga banjir jakarta lekas surut pemerintah cepet nangani musibah nyari solusi musim hujan ngerasain kebanjiran mata kaki segitu udah kerasa banget apalgi yg kaya jakarta banjir;0
wakil gubernur wagub dki jakarta rano karno meninjau korban banjir lebak bulus jakarta selatan rano mengajak warga terdampak banjir pindah rumah susun rusun jagakarsa selesai dibangun rano menyebut rusun singapura;0
aman ko bekasi sudah reda banjir sudah surut;1
duh sedih banget cm bisa bantu doa smg cpt surut bantuan sgr dtg n pemerintah gercep menangani banjir n sgl yg ditimbulkan jg mencari n mengatasi akar;1
mayoritas wilayah terendam banjir kabupaten bekasi surut kamis maret warga membersihkan rumah lumpur terbawa air penanganan bencana pemerintah kabupaten bekasi;1
minimalisir banjir pemerintah akan buang hujan jakarta news beritaterkini berita news beritanasional;0
pemprov jabar diem banjir bekasi bogor tidak perhatian elitnya kek humasnya kek apanye kek;0
baca dongs tulisan dimuat mojok hwhw protes pemerintah banjir jakarta sahsah via;0
jakarta banjir bossggk teriak;1
update banjir jakarta rt tergenang jaktim ketinggian air meter banjir rabu dkijakarta banjirjakarta pramonoanung ranokarno bpbd bencanaalam beritanasional;1
tulisannya tidak denial mas wkwkwkw greesel emanates beauty and charm bogor spesialisasi kirim banjir jakarta however deciding whether to have another oshi would take some process and a long time to decide;0
infosonora perumahan sukamekar bekasi pagi terendam banjir belum bantuan membutuhkan bantuan obat obatan pampers dll via;1
yg bilang banjir jakarta mudah ditangani eh pas menjabat gubernur thn tetep banjir nyapres banjir macet lbh mudah diatas presiden eeh sampe menjabat thn msh banjir;0
pemerintahan yg tidak berkesinambungan jegal kadang proyek sudah bagus utk kendali banjir tidak dilanjutkn jakarta tidak niat utk perbaiki;0
solusi pemerintah rakyat terpaksa cari solusi banjir banjirjakarta videolucu;0
jakarta udah gitu sii hujan deres semaleman banjir wkwkwk;1
infosonora update banjir subuh pondok gede permai banjir layang summarecon aman bisa lewati tidak tair stasiun bekasi jalanan bisa lewati tidak air lumpur sumber;1
erni bekasi banjir kah;1
rusunawa pengadegan pengungsian warga korban banjir pengadegan timur kecamatan pancoran jakarta selatan rabu siang rir beritaelshinta;2
wamendagri bima arya menelepon gubernur jakarta pramono anung bantuan truk sampah pembersihan sisa banjir kota bekasi;2
monitor suasana banjir mbah alhamdulillah selamatrumah utuh masuk air meter perum kemang ifi jatiasih bekasi;1
jakarta banjir dicari anies baswedan ya mbok pikir gaes anies kudu nyedot banyune banjir seng garai yo mergo rakyate tidak sadar mbuak sampah seng disalahno pemerintah penanggulangan yo wes yo sek nyalahno pemerintah ae heran;0
banjir listrik padam air mati duh nikmat banget ujian banjir;1
mobil kebanjiran mega bekasi hypermall warga syok biaya servis capai puluhan juta banjir;1
wakil gubernur wagub daerah khusus jakarta dkj rano karno meninjau lokasi terdampak banjir jalan kamboja lebak bulus cilandak jakarta selatan selasa maret wagubdkj wakilgubernur ranokarno banjir banjirjakarta;2
kemarinan launching rumah issue issuenya udah tidak banjir tapi tidak ngaruh dapet kiriman dr bogor ygy;1
banjir rt rw kedoya selatan kebon jeruk jakarta barat sudah surut rabu siang;1
kebijakan pemerintah dki jakarta memangkas anggaran naturalisasi sungai anggaran trotoar formula e digadanggadang memperparah kejadian banjir jakarta;0
banjir kemang pratama rawalumbu merendam rumah wali kota bekasi tri adhianto keluarga mengungsi hotel horison bukan tenda pengungsian warga berharap pemerintah mengambil tindakan nyata garudatv laporan banjirbekasi kemangpratama;0
menteri pekerjaan pu dody hanggodo komitmen kementerian pekerjaan penanganan bencana banjir bekasi jawa barat;2
jakarta dulunya rawa udah banjir kek gini omelin pemerintah nyampah beton introspeksi biar tidak nyalahin orang hargai orang sudah berjuang;0
jakarta dikepung banjir pramono tinjau pintu air manggarai banjir rabu pramonorano manggarai banjirjakarta dkijakarta gubernurdki beritanasional;1
polres bogor trauma healing korban banjir;2
perumahan rawan banjir direlokasi dijadikan polder penampung air pemerintah pusat turun tangan butuh dana diluar kemampuan keuangan pemkot bekasi;0
jakarta banjir berisik ampun dipegang pj skrg ngga suaranya skrg cari bahan;0
artis youtuber baim membagikan momen sahurnya banjir merendam rumahnya jakarta akibat curah hujan unggahan instagram baim santai menikmati nasi goreng air menggenangi rumahnya unggahan menarik perhatian;1
stay safe warga bekasi bogor terkena dampak banjir;1
alasan jakarta dulunya rawapasti banjir bego singapur belanda emang dulunya pemerintah masyarakatnya tidak maju tidak pinter;0
jelang buka puasa giliran menteri maruarar datangi pengungsian banjir bekasi;2
curhat korban banjir bekasi dapat bantuan evakuasi;0
kakak mohon menunggu penormalan terkait pengamanan banjir ya diupayakan secepatnya mudah ayo download aplikasi new pln mobile sehat tks vicko;1
tumben banget ya bekasi banjir;1
tidak layak ditiru rakyatnya kesusahan pemimpinnya tidur enak hotel banjir bekasi jabodetabek;0
momen mas pram sambangi kediaman korban banjir jakarta selatan kedatangan mas pram bentuk keprihatinan berbela sungkawa meninggalnya korban yg terseret banjir tebet;1
apresiasi setinggitingginya polri bantu evakuasi salurkan bantuan korban banjir bekasi depok keren;2
banjir woi jakarta banjir komen tunggu komen indah;0
paketku depok belum dijemput kurir kena banjir ya;1
memiliki literasi penyebab banjir kiriman bogor pemerintah andil dalamnya pemerintah berkontribusi tahunnya mengirim oleholeh bogor;0
f jam tidak bergerak cengkareng kalider s arah gbk banjir bkah min;0
mengenal sejarah bendungan katulampa patokan banjir jakarta peninggalan pemerintah belanda;0
intinya ente tidak bisa kerja ngebacot doang ente hrs akui ente bergantung sm pemerintah pusat yg sdg bangun bendungan kawasan bogor bukan cm banjir dlm sgl ente sll spt tapi ente tidak nurut sok tau ente nies aniesgabisakerja;0
pemerintah provinsi dki jakarta mewaspadai banjir akibat luapan air laut rob utara jakarta;1
sisi warga korban banjir mengharapkan langkah konkrit pemerintah penanganan banjir ridwankamil banjir banjirbogor bogor;0
dprd dki jakarta dorong pengerukan sungai atasi banjir;2
personel korps bhayangkara langsung terjun lokasi banjir bekasi depok wilayah mengalami banjir mengevakuasi masyarakat perahu karet peralatan memadai waspadahadapibencana;2
bbrp wilayah bekasi tlh dikonversi mnjd permukiman gt mayoritas setapak amp kampung jadul skl minoritas berbasis perumahan banjir menghantam jakarta kesedihan;0
personel korps bhayangkara langsung terjun lokasi banjir bekasi depok wilayah mengalami banjir mengevakuasi masyarakat perahu karet peralatan memadai evakuasi warga polri instansi terkait telah mendirikan posko;2
banjir bukan salah presiden salah gubernur salah mantan gubernur salah pemerintah salah masyarakat kzl orang tidak berotak yg bisanya nyalahin doang emang udah kerja jakarta hah;0
personel gabungan tnipolri mengevakuasi warga terdampak banjir perumahan asri sawangan depok jawa barat selasa pria membutuhkan cuci darah rsud sawangan;2
pemkot depok bantu renovasi rumah hancur akibat banjir;2
keren banget polri beraksi cepat dirikin dapur lapangan korban banjir benerbener dukungan nyata warga bekasi liat aksinya;2
kebodohan banjir kebodohan santai membuang sampah tidak tempatnya bukan jangan menyalahkan pemerintah banjirjakarta;0
dejavu banget yak baca berita jaman mul macem mul kaget jakarta banjir;1
lingkungan belum kasian orang kp cerewet duren jaya ayo bikin posko bantuan orang cluster cluster open donasi h banjir;0
langkah bhayangkara gentar menghadapi tantangan polri hadir melindungi membawa aman masyarakat penanganan banjir wilayah bekasi depok pesanggrahan polri siaga pertolongan;2
diapain jakarta banjir gubernur banjir ya banjir;0
dapur upaya tanggap darurat dinas sosial dki jakarta menghadapi bencana banjir melanda wilayah diharapkan dapat membantu warga terdampak banjir sumber dinsosdki jagajakarta jaki;2
yg nanya rumah banjir tidak sah alhamdulillah tidak banjir yh rumah ku aslinya kab bogor bukan bekasi;1
skala prioritas pembangunan mengacu urgensi kebutuhan mendesak pemerintah pusat ambil alih penanganan banjir jakarta;0
banjir dijakarta isak tangis kesedihan dilanda bencana lucunya perdebatan peran pemerintah upaya penanggulangan bencana semoga lekas pulih tidak memakan korban orderan terhambat banjir;0
banjir jakarta kiriman dr daerah jakarta jabar efek dr infrastruktur yg sedang d bangun pemerintah pusat kerjasama antra pemprov jabar jkt pemerintah pusat dlm menangani banjir;0
pemerintah kota depok menyebut kerugian akibat banjir rp miliar namun perhitungan belum tuntas depok banjir;1
apbd jakarta t bangun trotar t formula e t dana penanggulangan banjir m serahkan penanganan banjir pemerintah pusat salahkan air dr selatan amp bendungan hulu yg sdng pem pusat diselesaikan kewajiban naturalisasi sungai nol;0
hujan lebat mengguyur menyebabkan banjir wilayah jakarta bogor depok tangerang bekasi;1
personel gabungan tnipolri mengevakuasi warga terdampak banjir perumahan asri sawangan depok jawa barat selasa pria membutuhkan cuci darah rsud sawangan waspadahadapibencana;2
tidak yg separah sejarah dki pemerintah pusat mengambil alih woi aibon kriwil mundur nieshancurkanjakarta niesharusmundur pecataniesbaswedan pemerintah pusat ambil alih penanganan banjir jakarta;0
banjir jakarta kewenangan pemerintah pusat;0
berharap banget bsk surut cepet udah mati lampu pagi air deres masuk rumah tidak bisa bawa lari mobil banjir kiriman bogor;1
jalan haji sarimun jakarta barat terendam banjir ketinggian air mencapai meter rabu pagi ale infobanjirelshinta;1
rabu maret banser tanggap bencana membagikan takjil nasi buka puasa pengungsi korban banjir pasar cikarang bekasi bansertanggapbencana;2
instruksi gubernur dki jakarta pramono anung jakarta banjir pemerintah jakarta hadir;0
sirkelnya walikota bekasi koq gapunya empati ya mbok ya nginep gausah pake pamer kasian rakyat yg lg kesusahan akibat banjir;0
pekerja kabupaten bekasi nekat terobos banjir berujung mobil hanyut bekasi rabu banjirbekasi bekasibanjir peristiwa bencanaalam viral situasiterkini banjir beritanasional;1
berkah min admin magang semoga allah banjiri rejeki melimpah melebihi banjir bekasi;1
salah titik banjir terparah bekasi perumahan kemang pratama grand galaxy city yg berseberangan perumahan arah pintu ggc perumahan tanggul yg jebol debit air yg gilagilaan dibanding;0
njing jokowi jokowi sudah bolak banjir jakarta kewenangan pemerintah pusat presiden banjir jakarta tuntas sudah presiden njing;0
