conversation_id_str;created_at;username;full_text;kota_kabupaten;retweet_count;favorite_count;labels
1,89707E+18;Tue Mar 04 23:35:18 +0000 2025;mautauje;Banjir Jakarta: Di Mana PSI Sekarang? Dulu saat Anies masih menjabat setiap genangan di Jakarta langsung dijadikan AMUNISI kritik oleh PSI. Bahkan hujan belum turun pun mereka sudah siap dengan narasi. Tapi sekarang? Banjir datang lagi lebih luas lebih parah tapi suaranya https://t.co/92wkqkmcIm;DKI Jakarta;1;2;0
1,89707E+18;Tue Mar 04 23:35:08 +0000 2025;dumbq_;Jakarta pagi ini seperti biasa normal tanpa banjir alhamdulillah;DKI Jakarta;0;0;1
1,89686E+18;Tue Mar 04 23:32:00 +0000 2025;kadalepakan;@pramonoanung Lebih mudah pak @pramonoanung mengatasi banjir jakarta jika jadi presiden;DKI Jakarta;0;0;0
1,89672E+18;Tue Mar 04 23:31:47 +0000 2025;txtdrbekasi;@gorengaNyender Ini mah bukan masalah Vokal gak Vokal warganya bang Bekasi itu jatuhnya Kota Jakarta Provinsi dan Ibu Kota jadi pasti lebih disorot sama media. Jakarta banjir mah orang luar Jakarta juga ikut nimbrung isunya dan jelek2in pemerintahannya terlebih lagi kalo yg jadi Gubernurnya;DKI Jakarta;233;1178;0
1,89707E+18;Tue Mar 04 23:30:22 +0000 2025;andywindarto;Budi Muhammad Mustofa Ketua DPD @PKSBekasi Wakil Ketua DPRD Kab Bekasi Kalau dah musim bencana begini dah gak ada bedanya ama relawan lainnya : Ikut packing dan nyalurin bantuan untuk korban banjir bekasi. #RelawanPKS https://t.co/UiUEx4tlEd;Bekasi;36;126;0
1,89707E+18;Tue Mar 04 23:29:58 +0000 2025;nicoccinele;info banjir daan mogot arah tangerang masi banjir guys jam sgini tpi masi lancar arah jakarta clear ga macet;DKI Jakarta;0;1;1
1,89707E+18;Tue Mar 04 23:27:17 +0000 2025;dnlwkrt;Jadi salah dua titik banjir terparah di Bekasi itu ada di perumahan Kemang Pratama dan Grand Galaxy City yg berseberangan dengan perumahan di arah pintu belakang GGC. Nah di belakang perumahan itu ada tanggul yg jebol krn debit air yg gila-gilaan dibanding tahun 2012;Bekasi;2;3;0
1,89707E+18;Tue Mar 04 23:25:02 +0000 2025;lapas_sumedang;"Keluarga Besar Lapas Kelas IIB Sumedang mengucapkan Turut berduka cita atas musibah banjir di Lapas Cikarang dan Bapas Bekasi. Semoga saudara-saudara kita diberikan kekuatan dan kesabaran dalam menghadapi musibah ini. Pray For Lapas Cikarang &amp; Bapas Bekasi 4 Maret 2025 https://t.co/ck5ovBpYa4";Bekasi;0;0;1
1,89683E+18;Tue Mar 04 23:21:10 +0000 2025;rijukung;@harrysofian Bekasi barat aman gak banjir;Bekasi;0;1;1
1,89706E+18;Tue Mar 04 23:20:35 +0000 2025;ihantsn;pulang ke bekasi disambut berita banjir dimana2 skaksksk stay safe ya warga bekasi?;Bekasi;0;0;1
1,89705E+18;Tue Mar 04 23:20:19 +0000 2025;KesendirianX;@anakdotunpad doa untuk korban bencana banjir di bekasi;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 23:16:43 +0000 2025;Jejeyki1;Imbas Hujan Deras di Bogor Akses Jalan Stasiun Batu Tulis Amblas hingga Ditutup Sementara https://t.co/e224VwKM9o #banjir;Bogor;1;1;1
1,89706E+18;Tue Mar 04 23:16:20 +0000 2025;Jejeyki1;Sederet Titik Tertinggi Banjir di DKI Jakarta Ada yang Capai 5 Meter https://t.co/7XNuLKYYSM #banjirjakarta;DKI Jakarta;1;1;1
1,89668E+18;Tue Mar 04 23:15:49 +0000 2025;froemdoux;@zuyyi_ @menangkopi @txtdrbekasi Itu tugas pemerintah juga buat kasih sanksi tegas buat siapapun yang buang sambah sembarangan masa cuma diem doang banjir kan udah jadi masalah umum dan belum ada solusi disana makanya salah pemerintah tuh ya karena bodoamat ni banjir mau gimana.;Bekasi;0;0;0
1,89689E+18;Tue Mar 04 23:15:25 +0000 2025;ArnetzSablenk;@txtdrbekasi Warga : pemerintah kerja gag becus Pemerintah : banjir karena intensitas hujan yang tinggi Padahal salah 2-2nya gag mau belajar dr kejadian masa lalu dan tidak bisa introspeksi diri...;Bekasi;0;0;0
1,89706E+18;Tue Mar 04 23:14:49 +0000 2025;Jejeyki1;Rendaman Banjir di DKI Jakarta: Ribuan Warga Ngungsi ke 4 Titik Kelurahan Jaksel hingga Jaktim https://t.co/dyGo6Xm8aY #banjirjabodetabek;Jakarta Selatan;1;1;1
1,89693E+18;Tue Mar 04 23:14:30 +0000 2025;marimassoklat;@Tentang_cinta94 Aamiin semoga banjir di Bekasi cepat surut;Bekasi;0;1;1
1,89689E+18;Tue Mar 04 23:14:20 +0000 2025;pln_123;@victory_ori @txtdrbekasi @victory_ori Baik Kakak mohon menunggu penormalan terkait pengamanan banjir ya Kak dan diupayakan secepatnya. Agar semua makin mudah ayo download aplikasi New PLN Mobile. Sehat selalu. Tks -Vicko;Bekasi;0;0;1
1,8967E+18;Tue Mar 04 23:13:55 +0000 2025;Ranggap71289871;@gfpcy23 Video rumah tenggelam akibat banjir bekasi: https://t.co/QAqilCe0zu;Bekasi;0;0;1
1,89687E+18;Tue Mar 04 23:12:43 +0000 2025;Rifqizuhdi281;@Badutzokes @Aslienak2 @MafiaWasit Rumput renovasi jakarta kena banjir juga;DKI Jakarta;0;0;1
1,89706E+18;Tue Mar 04 23:12:30 +0000 2025;cnbcindonesia;Fakta-Fakta Banjir yang Bikin Bekasi Lumpuh https://t.co/LHKTvv6Bls;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 23:12:27 +0000 2025;detik_properti;Bak Air Bah! Detik-detik Air Banjir Terjang Mega Mal Bekasi https://t.co/ylieGe6coY;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 23:12:14 +0000 2025;alfadaffy;diluar konteks banjir jakarta pengen tau siapa kameramen nya hasil foto + editing warnanya top;DKI Jakarta;0;1;1
1,89693E+18;Tue Mar 04 23:11:45 +0000 2025;marimassoklat;@ningtuing Semoga banjir di Bekasi cepat surut;Bekasi;0;0;1
1,89704E+18;Tue Mar 04 23:11:08 +0000 2025;morishi59348373;@93yooniverse @txtdrbekasi Alhamdulillah kalau udah surut iya kayanya hape pada lowbat ya ka semoga ga ada banjir susulan .. terimakasih infonya ka;Bekasi;0;0;1
1,89693E+18;Tue Mar 04 23:11:01 +0000 2025;marimassoklat;@ereection Swmoga banjir Bekasi cepat surut;Bekasi;0;0;1
1,89661E+18;Tue Mar 04 23:10:47 +0000 2025;Ranggap71289871;@calendzr Rumah tenggelam akibat banjir bekasi: https://t.co/QAqilCe0zu;Bekasi;0;0;1
1,89705E+18;Tue Mar 04 23:10:46 +0000 2025;deardame;@txtdrbekasi JALAN BARUUU MANDALA MINN MASI BANJIR GAKKK;Bekasi;0;0;1
1,89705E+18;Tue Mar 04 23:10:43 +0000 2025;hieasternlight;@davidhotmarisi @txtdrbekasi kak kalau jl bukit tunggal raya masih banjir ga ya? gang sebelum rs mitra;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 23:04:30 +0000 2025;KWidiarso;Jakarta Bekasi dan sekitarnya banjir. Meneguhkan kpd kita semua bahwa tidak ragu lagi bahwa ibukota harus dipindah yaitu di IKN. Jabodetabek sdh berat menanggung beban. Beban ekologis lingkungan dan sosial. https://t.co/qW3qWjdVW8;DKI Jakarta;0;1;0
1,89706E+18;Tue Mar 04 23:04:28 +0000 2025;calliodra;Guys info dong arah polres masih gabisa dilewatin kah hari ini? #bekasi @txtdrbekasi #banjir https://t.co/88qf4a26Rk;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 23:04:15 +0000 2025;BrigitNamida;Kena banjir Walikota Bekasi bersama keluarga mengungsi ke Hotel Horison. https://t.co/ZcieuzOkYQ https://t.co/IruNC8EraG;Bekasi;4;8;1
1,89706E+18;Tue Mar 04 23:04:07 +0000 2025;jpnncom;Banjir Jakarta Meluas jadi 114 RT Berikut Daftarnya https://t.co/dIKUYlKflQ;DKI Jakarta;0;0;1
1,89699E+18;Tue Mar 04 23:04:03 +0000 2025;han_N4y;@txtdrbekasi duren jaya dirumah saya udah surut tadinya banjir sudah masuk melewati pintu pagar 2-5cm. pagi ini di jalanan rumah sudah ga ada genangan air lagi;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 23:04:01 +0000 2025;jualrumahbekasy;@txtdrbekasi pantauan Banjir Duta Kranji Bekasi sudah surut jadi akses dari Jln. Kalibaru menuju Kranji/bintara sudah bisa di lalui ya beks....;Bekasi;0;2;1
1,89706E+18;Tue Mar 04 23:03:53 +0000 2025;KompasData;Sejarah merekam banjir dan Bekasi menjadi sesuatu yang sulit untuk dipisahkan. #Riset #AdadiKompas https://t.co/yB3f6maeM5;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 23:03:53 +0000 2025;cumabisacecil;liat banjir di bekasi jd bikin mikir kenapa bisa sefatal dan separah itu sih kerusakannya? waktu bangun-bangunin proyek AMDAL nya mana?? emg ga bikin daerah resapan air dan lahan konservatif kahh...;Bekasi;0;0;0
1,89706E+18;Tue Mar 04 23:01:56 +0000 2025;hariankompas;Sejarah merekam banjir dan Bekasi menjadi sesuatu yang sulit untuk dipisahkan. #Riset #AdadiKompas https://t.co/as3ZLdNcQo;Bekasi;0;1;1
1,89706E+18;Tue Mar 04 23:01:38 +0000 2025;GomJjinPengSoo;Sebagai warga bekasi yg udh puluhan taun hidup di tempat yg sama gue ga terima warga bekasi dibilang ga vokal. Lo gatau kan betapa ngerugiinnya itu grand dhika? Udh diprotes sama warga sana sini tapi apa? Tetep dilanjut tuh bangunan ampe bikin 2x banjir parah. Terus di deket;Bekasi;0;2;0
1,89706E+18;Tue Mar 04 23:01:08 +0000 2025;C_D3pp;@Safa_Andriana lihat2 video2 banjir bekasi sedih banget;Bekasi;0;1;1
1,89691E+18;Tue Mar 04 23:00:43 +0000 2025;acutpearce;@migorengdebes_ Oh no banjir + mati listrik tuh... Alhamdulillah ga kena banjir asli aku gatau kalo bekasi banjir juga....;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 23:00:01 +0000 2025;Fortune_IDN;Imbas Banjir KAI Commuter Rekayasa Pola Operasional KRL Bekasi https://t.co/1DrLlfdUcY;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 22:57:30 +0000 2025;themightyic;ngeri banget liat berita banjir di depok sodara gua udah kena padahal ga jauh banget dari rumah tapi bersyukur aman dari banjir;Depok;0;0;1
1,89706E+18;Tue Mar 04 22:57:28 +0000 2025;istanakuen;Sebagai warga asli bekasi yg tidak terkena banjir saat turut berdukacita atas kejadian banjir di bulan awal ramadhan ini semoga semuanya selalu dalam lindungan tuhan https://t.co/HYL89CmrpP;Bekasi;1;1;1
1,8969E+18;Tue Mar 04 22:57:10 +0000 2025;desygggg;@cardibdepok oh iya btw depok aman ka ga kena banjir?;Depok;0;0;1
1,89679E+18;Tue Mar 04 22:57:03 +0000 2025;seulgilocal;@kucinug @chiquzita @pjrom Tempat gue emng dh langganan banjir dari dulu sih bun. Cuma yg dulu ama yg kemaren2 ini ga separah dulu. Tapi gatau sekarang nih bakal kek biasa apa balik kek dulu. Soalnya di bekasi aja separah itu;Bekasi;0;0;0
1,89706E+18;Tue Mar 04 22:56:45 +0000 2025;astrophiler_;sedih bgt ngeliat problema KPR di bekasi bulan kemaren yg ada SHM ganda dirobohin rumahnya pdhl udah KPR belasan tahun terus skrg ada komplek KPR kena banjir (termasuk rumah temen sekantor). sedih bgt;Bekasi;0;0;0
1,89706E+18;Tue Mar 04 22:56:28 +0000 2025;AKU_dgn3putra;@txtdrbekasi Minbeks mau tanya soalnya banyak yg bertanya kok tumben banjir kemarin area langganan banjir Prumnas 3 dan Taman Alamanda ga terdampak banjir ? Apakah berbeda aliran sungainya dgn daerah Bekasi yg kebanjiran;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 22:56:08 +0000 2025;GomJjinPengSoo;Pemkab pemkot bekasi ga peduli sama warga Padahal warga udah bacot di sosmed terus dr banjir 5 taun lalu tapi avvah????? Yo ga ada pemkot ato pemkab gerak sibuk sendiri mereka. Gue inget bupati cewe itu pas banjir gede malah sibuk minta doa buat anak saya mau ikut lomba telek;Bekasi;0;0;0
1,89699E+18;Tue Mar 04 22:55:47 +0000 2025;ddolliejo;@hedsetminiso @txtdrbekasi engga banjir kak aku dpt info dr orang rumah;Bekasi;0;0;1
1,89704E+18;Tue Mar 04 22:55:43 +0000 2025;bry4n_cyrus;@mineyg29 mau nanya dong kak ini banjir nya darimana ya? padahal itu ga hujan kan ya? air sungai kah? btw staysafe ya kalian warga bekasi jakarta;DKI Jakarta;0;0;1
1,89706E+18;Tue Mar 04 22:55:37 +0000 2025;CakD3pp;Ya Allah Momen warga berebut ayam milik warga yang hanyut terbawa arus banjir kali Bekasi di jembatan Besi Wisma Asri (eks Giant) Tambun Utara. Antara sedih miris lucu dan semoga banjir Bekasi cepat surut. https://t.co/FQyMsA4HTA;Bekasi;7;42;1
1,89683E+18;Tue Mar 04 22:53:12 +0000 2025;patrickstar0357;@harrysofian Gimana dg Semarang pak.. Hampir sama dg Jakarta langganan banjir;DKI Jakarta;0;0;1
1,89577E+18;Tue Mar 04 22:53:03 +0000 2025;flowerbells_;@akutemaram @beautales_ Kakkk gimana kondisi di bogor??? katanya lagi banjir?? Stay safe yah kak;Bogor;0;0;1
1,89706E+18;Tue Mar 04 22:52:18 +0000 2025;tribunnews;Warga Jatiasih Bekasi yang Terpeleset dan Hanyut Terbawa Arus Banjir Belum Ditemukan https://t.co/FYQlxGAM2h;Bekasi;0;1;1
1,89706E+18;Tue Mar 04 22:50:11 +0000 2025;tellyouitsjena;gakuat liat komen tiktok ttg banjir bekasi wkwk;Bekasi;0;0;1
1,89686E+18;Tue Mar 04 22:49:32 +0000 2025;mjinggo886;@pramonoanung Salam Saya lulusan ITB Geologi Geofisika 99 kalo dibutuhkan bisa membantu bapak untuk menyelesaikan masalah banjir dan pencegahannya di Jakarta.;DKI Jakarta;0;0;1
1,89706E+18;Tue Mar 04 22:49:20 +0000 2025;maringetweett;Sapi di Rumah Pemotongan Hewan (RPH) ikut terdampak banjir yang melanda Bekasi Selasa (4/3/2025). https://t.co/vbYTNyt8UX;Bekasi;226;1430;1
1,89706E+18;Tue Mar 04 22:49:08 +0000 2025;ctes_eksakta;Aha Dua Permata: Mushala Teredam Hanya Atap dan Kubah yang Terlihat hingga setinggi Lutut Air di lantai 2 Banjir di Pejaten Timur Jaksel: https://t.co/B35x8vITwd;Jakarta Selatan;0;0;1
1,89705E+18;Tue Mar 04 22:49:07 +0000 2025;dwanodino;@kentangemsidi @vihrea_ @txtdrbekasi gaaa keliataan kak jujurrr tp klo parkiran dlm stasiun bekasi nya mah ga banjir kakkk;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 22:48:48 +0000 2025;elog_bimbel;Aha Dua Permata: Mushala Teredam Hanya Atap dan Kubah yang Terlihat hingga setinggi Lutut Air di lantai 2 Banjir di Pejaten Timur Jaksel: https://t.co/vacHcy75yb;Jakarta Selatan;0;0;1
1,89706E+18;Tue Mar 04 22:48:27 +0000 2025;bangpoerslalu;Kualitas Hendarsam politikus partai @Gerindra ini masih dibawah standar utk debat publik diprogram sebesar Rakyat Bersuara. Masih kalah dgn @GunRomli dari PDIP. Bekasi Banjir Nikita Mirzani Pertamina Ahok Erick Thohir Madrid Mbappe Ciledug #AdiliJokowiAtauRevolusi2025 https://t.co/ZOpnG3ehQe;Bekasi;6;14;0
1,89706E+18;Tue Mar 04 22:47:07 +0000 2025;hrnyhee;aku belum cerita kalo Bekasi banjir bandang tiba2 malam nnya aku baik2 aja ga gemes sekaliiii https://t.co/lt8FQ3olNX;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 22:47:07 +0000 2025;onyourma_rkk;@txtdrbekasi info dong alun alun dan rsud masih banjir ga ya?;Bekasi;0;0;1
1,89706E+18;Tue Mar 04 22:46:24 +0000 2025;SonoraFM92;05.45 #InfoSonora #update Banjir Subuh ini : - Jalanan di depan GOR Bekasi tidak ada air kecuali di belakang pemukiman masih ada genangan. PLN padam - Daerah ruas jalan Rawa Panjang Bekasi aman tidak ada air. - Patriot Pakuwon Bekasi sudah bisa di lewati. Dari berbagai sumber;Bekasi;5;12;1
1,89706E+18;Tue Mar 04 22:46:23 +0000 2025;SonoraFM92;05.45 #InfoSonora #update Banjir Subuh ini : - Pondok Gede Permai masih banjir - Bawah layang Summarecon aman bisa di lewati tidak tair. - Depan stasiun Bekasi jalanan bisa di lewati tidak ada air banyak lumpur. Dari berbagai sumber;Bekasi;9;13;1
1,89706E+18;Tue Mar 04 22:46:22 +0000 2025;SonoraFM92;05.45 #InfoSonora #update Banjir Subuh ini : - Pasar Puri Pesanggrahan tinggi hampir sepinggang - Sekitar Graha Mas jl Perjuangan JakBar Jalan tinggi airnya motor mogok - Mustika 3 Raksa Tangerang - Depan RS Ananda Babelan Bekasi Utara Dari berbagai sumber;Jakarta Barat;4;8;1
1,89704E+18;Tue Mar 04 22:46:07 +0000 2025;jinnervosa;@txtdrjkt Kalau yang tangerang ke jakartnya masih banjir gak kak?;Tangerang;0;1;1
1,89686E+18;Tue Mar 04 22:46:04 +0000 2025;Andi_Rubby;@pramonoanung Padahal era pak @aniesbaswedan banjir di @DKIJakarta sudah mulai teratasi.. Hanya sayang pemenang hadiah chiky nya tidak melanjutkan program yg sudah di jalankan;DKI Jakarta;1;54;0
1,89705E+18;Tue Mar 04 22:40:59 +0000 2025;kontekscoid;#BanjirBekasi Dedi Mulyadi Kritisi Para Pengembang Perumahan yang Tak Perhitungkan Dampak Banjir (nf) : Instagram/dedimulyadi71 #dedymulyadi #gubernurjawabarat #jawabarat #banjirjawabarat #banjirjabar #bekasilumpuh #prayforbekasi #basarnas #bpdb #banjir #jatiasih #bekasi https://t.co/4cog6TxE4N;Bekasi;1;2;0
1,89704E+18;Tue Mar 04 22:40:36 +0000 2025;tokkienim;@herryh11 @txtdrbekasi Bawah jembatan summarecon yg deket walkot ga ka? Kalo iya dsitu udh surut sih. Aku lewatnya searah rel sih ka itu yg masih ada banjir skitaran kranji;Bekasi;0;1;1
1,89705E+18;Tue Mar 04 22:40:00 +0000 2025;mediaindonesia;Pemerintah Kota (Pemkot) Bekasi Jawa Barat memastikan bahwa semua dapur umum telah beroperasi dan siap melayani kebutuhan warga terdampak banjir. https://t.co/tVM0bp5C5s;Bekasi;2;1;2
1,89699E+18;Tue Mar 04 22:39:35 +0000 2025;iwahyudis;@txtdrbekasi 360 derajar itu balik lagi ke nganggur. Capek ngejar banjir yak Min;Bekasi;0;5;1
1,89705E+18;Tue Mar 04 22:34:17 +0000 2025;thedeepstories_;Tadi pagi keluarga yg di bekasi ngabarin banjir cuma sampe teras belum masuk rumah;Bekasi;0;0;1
1,89682E+18;Tue Mar 04 22:33:38 +0000 2025;Erlangga_25;@nayotherside__ @ridwanhr Yg banjir bekasi barat sm kabupaten utara doang boy. Komen gini jg dipikir dulu banjir belom surut lu udah ngoceh ga respect;Bekasi;0;3;0
1,89673E+18;Tue Mar 04 22:32:33 +0000 2025;ahmad74345;@CakKhum Isinya banjir core bekasi kemaren https://t.co/RPZNgGIbPF;Bekasi;0;0;1
1,89689E+18;Tue Mar 04 22:32:27 +0000 2025;lillypilLysz;@moringeues jujur iya. soalnya banyak yg update yg tadinya gapernah banjir tbtb rumahnya kena banjir sampe sebetis dan masuk rumah. yg di lt 2 gapernah kena banjir ini di lt 2 sampe 80cm airnya. kayak byk bgt pembangunan di bekasi tuh. tp drainase airnya jelek. datarannya jg rendah.;Bekasi;0;0;1
1,89705E+18;Tue Mar 04 22:32:25 +0000 2025;frans_surya;Semenjak gubernur Jakarta dari PDIP isu banjir Jakarta enggak rame di Sosmed. Kenapa? You know lah buzzeRp.;DKI Jakarta;14;44;0
1,89689E+18;Tue Mar 04 22:31:38 +0000 2025;flowryhoon;@gladiolish alhamdulillah semoga engga deh ya.. soalnya temen kantorku sampe ngungsi kemarin banjirnya 2m lebih kata dia :( ga nyangka banjir kirimannya numpuk di bekasi...;Bekasi;0;0;1
1,89705E+18;Tue Mar 04 22:29:23 +0000 2025;ochachan_;Mengucap syukur dan terima kasih sama penyertaan Tuhan untuk setiap langkah dan keputusan yg aku ambil selama perjalanan juga bantuanNya yang hadir melalui orang-orang baik yg boleh kujumpai hari ini. Thank God! #banjir #banjirbekasi #banjir2025;Bekasi;0;1;1
1,89705E+18;Tue Mar 04 22:29:23 +0000 2025;ochachan_;Penantian panjang 1 5 bulan untuk bisa sampai di tahap pemeriksaan EEG (Electroencephalogram) akhirnya sampai juga di hari ini 4 Maret 2025. Perjalanan dari rumah ke RS juga penuh perjuangan ditengah bencana banjir yang melanda Kota Bekasi.;Bekasi;0;2;1
1,89705E+18;Tue Mar 04 22:29:20 +0000 2025;kentangemsidi;@dwanodino @vihrea_ @txtdrbekasi Kak parkiran stasiunnya yg Juanda masih banjir gak ya?;Bekasi;0;0;1
1,89705E+18;Tue Mar 04 22:29:12 +0000 2025;auliarhmaa;Story whatsapp emak gue isinya update-an banjir bekasi wkwk tipikal emak2 bgt dah https://t.co/VMbD9LeLsF;Bekasi;0;0;1
1,89686E+18;Tue Mar 04 22:29:04 +0000 2025;terrifiesme;@rizkidwika sebenernya mrk nih visionary bgt sesuai dgn jargonnya orientasi permukiman masa depan . bahkan kota bekasi wkt itu belum terbentuk tp mrk bisa memprediksi kalo lokasi yg mrk pilih bakal strategis dan dekat sm pusat kota. beda sama permukiman yg lain. udh jauh banjir pula.;Bekasi;13;481;0
1,89702E+18;Tue Mar 04 22:28:54 +0000 2025;Risdy69653275;@MasBRO_back Semoga banjir di Bekasi segera surut... aamiin;Bekasi;0;0;1
1,89676E+18;Tue Mar 04 22:28:38 +0000 2025;putrivey3;@Outstandjing Gw tinggal di bekasi alhamdulillah ga kena imbas banjir kemaren .. menurut gw Mall makin banyak tapi sungai/ kali makin sempit segitu2 aja boro2 di beraihin dilihat juga ga ?? Trus walikotanya ngapain aja 2 priode loh .. sibuk klarifikasi ga ada solusi cuma PASRAH;Bekasi;1;9;0
